================================================
File Name                           Average Time
================================================
time_10a0_6.txt                     6.6694
time_10b0_6.txt                     5.1986
time_10c0_6.txt                     11.8922
time_11a0_6.txt                     2.5456
time_11b0_6.txt                     0
time_11c13_6.txt                    1.1126
time_11d4_6.txt                     0
time_12a0_6.txt                     27.7272
time_12b0_6.txt                     36.3066
time_12c0_6.txt                     43.0322
time_13a0_6.txt                     215.779
time_13b0_6.txt                     2.1628
time_13c0_6.txt                     2.1022
time_13d0_6.txt                     69.7514
time_14a0_6.txt                     19.9794
time_14c0_6.txt                     28.5364
time_15a0_6.txt                     0
time_15b0_6.txt                     28.5732
time_15c0_6.txt                     0
time_15d36_6.txt                    10.495
time_16a0_6.txt                     36.687
time_16b0_6.txt                     39.4624
time_16c0_6.txt                     25.1246
time_16d0_6.txt                     31.1576
time_17a0_6.txt                     0
time_17b0_6.txt                     7.6344
time_17c0_6.txt                     12.0032
time_17d0_6.txt                     0
time_17e0_6.txt                     16.6806
time_17f0_6.txt                     7.7904
time_18a0_6.txt                     181.903
time_18b0_6.txt                     78.5768
time_18c0_6.txt                     0
time_19a0_6.txt                     199.911
time_19b0_6.txt                     0
time_19c0_6.txt                     0
time_19d0_6.txt                     56.3892
time_1a0_6.txt                      1.345
time_1b0_6.txt                      1.799
time_1c0_6.txt                      0.3646
time_1d0_6.txt                      4.6266
time_20a0_6.txt                     7.5998
time_20b0_6.txt                     5.4036
time_20c0_6.txt                     8.18
time_21a0_6.txt                     62.0864
time_21b0_6.txt                     69.358
time_21c0_6.txt                     90.2054
time_22a0_6.txt                     101.554
time_22b0_6.txt                     86.6662
time_22c0_6.txt                     142.407
time_22d0_6.txt                     94.372
time_23a0_6.txt                     58.4
time_23b0_6.txt                     53.334
time_23c0_6.txt                     50.5614
time_24a0_6.txt                     0
time_24b0_6.txt                     0
time_25a0_6.txt                     0
time_25b0_6.txt                     0
time_25c0_6.txt                     0
time_26a0_6.txt                     26.9532
time_26b0_6.txt                     32.4816
time_26c0_6.txt                     163.077
time_27a0_6.txt                     72.4308
time_27b0_6.txt                     45.9302
time_27c0_6.txt                     61.335
time_28a0_6.txt                     105.122
time_28b0_6.txt                     19.368
time_28c0_6.txt                     84.2588
time_29a0_6.txt                     0
time_29b0_6.txt                     0
time_29c0_6.txt                     201.357
time_2a0_6.txt                      1.1912
time_2b0_6.txt                      1.0496
time_2c0_6.txt                      0.9554
time_2d0_6.txt                      2.144
time_30a0_6.txt                     0
time_30b0_6.txt                     0
time_30c0_6.txt                     0
time_31a0_6.txt                     0
time_31b0_6.txt                     0
time_31c0_6.txt                     132.777
time_32a0_6.txt                     1.4562
time_32b0_6.txt                     2.0778
time_33a0_6.txt                     18.8334
time_33b0_6.txt                     18.3128
time_33c0_6.txt                     0
time_3a0_6.txt                      14.8002
time_3b0_6.txt                      7.3038
time_3c0_6.txt                      19.929
time_4a0_6.txt                      1.4944
time_4b0_6.txt                      1.0358
time_4c0_6.txt                      1.8686
time_5a0_6.txt                      30.443
time_5b0_6.txt                      17.934
time_5c0_6.txt                      14.938
time_6a4_6.txt                      0
time_6b0_6.txt                      0
time_6c0_6.txt                      0
time_6d0_6.txt                      0
time_6e0_6.txt                      0
time_6f0_6.txt                      200.774
time_7a0_6.txt                      8.3072
time_7b0_6.txt                      7.5404
time_7c0_6.txt                      155.714
time_8c0_6.txt                      60.9692
time_8d0_6.txt                      32.2096
time_9a0_6.txt                      12.6986
time_9b0_6.txt                      0
time_9c0_6.txt                      0
time_9d0_6.txt                      640.461
================================================
