suite,query,plan,plan_kind,source_file,repetition,execution_order,seconds,status,error
job,2d,rewrite1,rewrite,job-2d/rewrite1.sql,2,63,2.455000000,ok,
job,15d,rewrite4,rewrite,job-15d/rewrite4.sql,2,64,8.358000000,ok,
job,17a,rewrite1,rewrite,job-17a/rewrite1.sql,2,65,6.242000000,ok,
job,22d,rewrite5,rewrite,job-22d/rewrite5.sql,2,66,7.503000000,ok,
job,15d,rewrite5,rewrite,job-15d/rewrite5.sql,2,67,5.203000000,ok,
job,2d,query,original,job-2d/query.sql,2,68,1.116000000,ok,
job,2d,rewrite6,rewrite,job-2d/rewrite6.sql,2,69,1.206000000,ok,
job,17a,rewrite8,rewrite,job-17a/rewrite8.sql,2,70,3.940000000,ok,
job,17a,rewrite2,rewrite,job-17a/rewrite2.sql,2,71,3.922000000,ok,
lsqb,q1,rewrite6,rewrite,lsqb-q1/rewrite6.sql,2,72,1.004000000,ok,
job,22d,rewrite1,rewrite,job-22d/rewrite1.sql,2,73,4.107000000,ok,
lsqb,q1,rewrite8,rewrite,lsqb-q1/rewrite8.sql,2,74,1.064000000,ok,
job,2d,rewrite3,rewrite,job-2d/rewrite3.sql,2,75,1.030000000,ok,
job,15d,rewrite6,rewrite,job-15d/rewrite6.sql,2,76,2.656000000,ok,
job,15d,rewrite1,rewrite,job-15d/rewrite1.sql,2,77,2.740000000,ok,
job,2d,rewrite5,rewrite,job-2d/rewrite5.sql,2,78,7.465000000,ok,
job,2d,rewrite4,rewrite,job-2d/rewrite4.sql,2,79,7.993000000,ok,
job,17a,query,original,job-17a/query.sql,2,80,7.419000000,ok,
job,22d,rewrite6,rewrite,job-22d/rewrite6.sql,2,81,7.359000000,ok,
job,17a,rewrite3,rewrite,job-17a/rewrite3.sql,2,82,3.818000000,ok,
lsqb,q1,rewrite4,rewrite,lsqb-q1/rewrite4.sql,2,83,1.604000000,ok,
job,22d,query,original,job-22d/query.sql,2,84,9.088000000,ok,
lsqb,q1,query,original,lsqb-q1/query.sql,3,85,4.941000000,ok,
lsqb,q1,rewrite5,rewrite,lsqb-q1/rewrite5.sql,3,86,1.405000000,ok,
job,17a,rewrite2,rewrite,job-17a/rewrite2.sql,3,87,3.999000000,ok,
lsqb,q1,rewrite2,rewrite,lsqb-q1/rewrite2.sql,3,88,1.620000000,ok,
job,15d,rewrite2,rewrite,job-15d/rewrite2.sql,3,89,3.963000000,ok,
lsqb,q1,rewrite8,rewrite,lsqb-q1/rewrite8.sql,3,90,1.123000000,ok,
job,22d,rewrite3,rewrite,job-22d/rewrite3.sql,3,91,4.928000000,ok,
job,22d,rewrite5,rewrite,job-22d/rewrite5.sql,3,92,8.021000000,ok,
job,2d,rewrite1,rewrite,job-2d/rewrite1.sql,3,93,2.466000000,ok,
lsqb,q1,rewrite7,rewrite,lsqb-q1/rewrite7.sql,3,94,1.123000000,ok,
job,22d,rewrite6,rewrite,job-22d/rewrite6.sql,3,95,7.911000000,ok,
job,2d,rewrite3,rewrite,job-2d/rewrite3.sql,3,96,1.455000000,ok,
job,22d,rewrite2,rewrite,job-22d/rewrite2.sql,3,97,3.899000000,ok,
job,17a,rewrite4,rewrite,job-17a/rewrite4.sql,3,98,6.387000000,ok,
job,15d,query,original,job-15d/query.sql,3,99,5.372000000,ok,
job,17a,rewrite8,rewrite,job-17a/rewrite8.sql,3,100,3.843000000,ok,
lsqb,q1,rewrite4,rewrite,lsqb-q1/rewrite4.sql,3,101,1.664000000,ok,
job,17a,rewrite6,rewrite,job-17a/rewrite6.sql,3,102,5.473000000,ok,
job,22d,query,original,job-22d/query.sql,3,103,9.428000000,ok,
job,15d,rewrite3,rewrite,job-15d/rewrite3.sql,3,104,2.849000000,ok,
job,17a,rewrite5,rewrite,job-17a/rewrite5.sql,3,105,4.262000000,ok,
job,15d,rewrite5,rewrite,job-15d/rewrite5.sql,3,106,5.194000000,ok,
job,22d,rewrite8,rewrite,job-22d/rewrite8.sql,3,107,9.907000000,ok,
lsqb,q1,rewrite6,rewrite,lsqb-q1/rewrite6.sql,3,108,1.028000000,ok,
job,15d,rewrite4,rewrite,job-15d/rewrite4.sql,3,109,7.749000000,ok,
job,2d,rewrite2,rewrite,job-2d/rewrite2.sql,3,110,1.755000000,ok,
job,17a,rewrite7,rewrite,job-17a/rewrite7.sql,3,111,4.652000000,ok,
job,22d,rewrite1,rewrite,job-22d/rewrite1.sql,3,112,3.913000000,ok,
job,2d,rewrite5,rewrite,job-2d/rewrite5.sql,3,113,6.854000000,ok,
job,17a,rewrite1,rewrite,job-17a/rewrite1.sql,3,114,6.541000000,ok,
job,15d,rewrite1,rewrite,job-15d/rewrite1.sql,3,115,2.921000000,ok,
job,22d,rewrite7,rewrite,job-22d/rewrite7.sql,3,116,13.996000000,ok,
job,17a,rewrite3,rewrite,job-17a/rewrite3.sql,3,117,3.913000000,ok,
job,17a,query,original,job-17a/query.sql,3,118,7.317000000,ok,
job,2d,query,original,job-2d/query.sql,3,119,1.254000000,ok,
job,15d,rewrite8,rewrite,job-15d/rewrite8.sql,3,120,3.439000000,ok,
job,2d,rewrite6,rewrite,job-2d/rewrite6.sql,3,121,1.178000000,ok,
job,15d,rewrite7,rewrite,job-15d/rewrite7.sql,3,122,2.201000000,ok,
lsqb,q1,rewrite3,rewrite,lsqb-q1/rewrite3.sql,3,123,1.071000000,ok,
job,2d,rewrite4,rewrite,job-2d/rewrite4.sql,3,124,8.235000000,ok,
job,15d,rewrite6,rewrite,job-15d/rewrite6.sql,3,125,2.682000000,ok,
job,22d,rewrite4,rewrite,job-22d/rewrite4.sql,3,126,4.540000000,ok,
job,17a,rewrite3,rewrite,job-17a/rewrite3.sql,4,127,4.020000000,ok,
job,2d,query,original,job-2d/query.sql,4,128,1.240000000,ok,
lsqb,q1,rewrite3,rewrite,lsqb-q1/rewrite3.sql,4,129,1.071000000,ok,
job,15d,rewrite6,rewrite,job-15d/rewrite6.sql,4,130,2.696000000,ok,
